player_id,player_name,year,max_ev,hard_hit_pct,barrel_pct
595281,"Kiermaier, Kevin",2015,112.2,30.9,2.4
133380,"Ramirez, Aramis",2015,108.6,34.5,5.6
458015,"Votto, Joey",2015,109.3,42.2,10.9
543213,"Giavotella, Johnny",2015,110.7,19.6,1.0
457727,"Maybin, Cameron",2015,109.7,35.9,2.7
435622,"Desmond, Ian",2015,114.4,41.1,6.9
452678,"Cabrera, Asdrúbal",2015,106.7,32.3,5.4
452252,"Lind, Adam",2015,109.8,36.0,7.2
592206,"Castellanos, Nick",2015,111.6,34.5,7.7
467055,"Sandoval, Pablo",2015,114.0,33.5,4.8
136860,"Beltrán, Carlos",2015,112.8,41.9,5.8
588751,"Hechavarría, Adeiny",2015,107.1,31.3,1.0
400121,"Martinez, Victor",2015,108.9,33.2,4.1
547180,"Harper, Bryce",2015,116.0,47.5,12.9
460075,"Braun, Ryan",2015,114.9,45.4,10.7
543063,"Crawford, Brandon",2015,110.6,42.9,8.7
457708,"Upton, Justin",2015,113.9,39.2,10.3
519083,"Norris, Derek",2015,112.1,35.1,2.3
121347,"Rodriguez, Alex",2015,116.5,43.9,10.9
435559,"Suzuki, Kurt",2015,105.8,29.9,1.0
435062,"Kendrick, Howie",2015,111.6,41.4,3.9
467092,"Ramos, Wilson",2015,114.2,44.5,6.3
572008,"Owings, Chris",2015,107.6,24.9,2.6
578428,"Iglesias, Jose",2015,108.6,18.7,0.0
489149,"Morrison, Logan",2015,113.6,37.7,6.9
408299,"Infante, Omar",2015,104.7,20.4,0.8
444432,"Trumbo, Mark",2015,116.5,43.0,9.8
453064,"Tulowitzki, Troy",2015,112.1,40.4,5.3
592663,"Realmuto, J.T.",2015,109.6,34.3,4.3
592885,"Yelich, Christian",2015,112.5,45.1,4.8
435263,"McCann, Brian",2015,112.6,36.5,5.3
150229,"Pierzynski, A.J.",2015,110.0,25.7,3.5
546318,"Herrera, Odúbel",2015,113.3,33.9,3.2
448801,"Davis, Chris",2015,113.2,45.9,17.3
453056,"Ellsbury, Jacoby",2015,108.6,28.4,3.0
457706,"Jackson, Austin",2015,109.1,39.8,3.8
407781,"Byrd, Marlon",2015,108.8,31.1,8.5
592178,"Bryant, Kris",2015,111.5,43.8,11.5
519048,"Moreland, Mitch",2015,112.5,45.9,10.4
571788,"Holt, Brock",2015,107.2,24.2,0.6
465041,"Cervelli, Francisco",2015,111.1,35.6,4.1
444482,"Peralta, David",2015,116.0,43.4,8.0
501571,"Lagares, Juan",2015,112.7,40.2,1.7
400085,"Suzuki, Ichiro",2015,106.9,13.8,0.6
519390,"Vogt, Stephen",2015,109.4,30.1,5.6
596059,"Odor, Rougned",2015,111.1,32.8,5.4
543281,"Harrison, Josh",2015,104.7,24.4,1.4
542303,"Ozuna, Marcell",2015,114.5,45.0,6.0
571740,"Hamilton, Billy",2015,104.2,8.9,0.6
474832,"Belt, Brandon",2015,109.4,41.8,10.0
408234,"Cabrera, Miguel",2015,115.6,53.3,10.6
592192,"Canha, Mark",2015,114.2,36.2,7.8
605113,"Ahmed, Nick",2015,107.2,22.4,1.7
458085,"Coghlan, Chris",2015,107.5,33.3,5.5
605412,"Panik, Joe",2015,106.7,29.4,2.3
543543,"Miller, Brad",2015,113.4,40.1,4.3
543238,"Gose, Anthony",2015,110.3,30.7,2.3
596019,"Lindor, Francisco",2015,110.4,36.7,3.5
592696,"Rosario, Eddie",2015,106.2,30.8,6.2
431145,"Martin, Russell",2015,111.5,40.0,8.2
460576,"Gómez, Carlos",2015,111.7,33.1,5.0
446263,"Duda, Lucas",2015,114.1,42.3,11.6
592261,"DeShields, Delino",2015,108.4,22.4,1.2
434670,"Ramirez, Hanley",2015,116.6,41.6,7.5
456030,"Pedroia, Dustin",2015,104.7,25.4,3.0
429667,"Howard, Ryan",2015,110.7,45.2,11.7
493114,"Aoki, Norichika",2015,104.9,19.6,0.9
472528,"Valbuena, Luis",2015,108.3,39.3,8.8
425766,"Loney, James",2015,109.7,21.5,1.2
500871,"Escobar, Eduardo",2015,107.6,23.9,6.1
456422,"Bourn, Michael",2015,106.7,18.5,1.8
608365,"Russell, Addison",2015,109.2,29.2,5.2
429666,"Hardy, J.J.",2015,107.3,30.7,1.5
474568,"Mercer, Jordy",2015,107.8,29.3,2.1
