player_name,player_id,pa,avg_bat_speed,hard_hit_pct,barrel_pct,bb_pct,contact_pct,avg,obp,slg,iso
Brendan Donovan,680977,652,69.6,37.6,5.5,7.2,86.6,0.278,0.342,0.417,0.14
Daulton Varsho,662139,513,73.7,34.0,6.2,9.4,76.1,0.214,0.293,0.407,0.194
Victor Robles,645302,295,68.3,28.6,6.2,7.1,76.1,0.307,0.381,0.433,0.126
Lawrence Butler,671732,451,74.2,47.4,11.0,7.8,75.2,0.262,0.317,0.49,0.228
Wyatt Langford,694671,557,74.5,43.4,9.3,9.2,79.5,0.253,0.325,0.415,0.162
Wilyer Abreu,677800,447,74.6,50.5,11.1,8.9,73.8,0.253,0.322,0.459,0.206
Tyler Stephenson,663886,515,70.8,43.9,9.1,9.3,78.9,0.258,0.338,0.444,0.186
Christian Walker,572233,552,75.0,48.0,13.3,10.0,76.1,0.251,0.335,0.468,0.217
Christian Yelich,592885,315,73.2,46.7,7.9,12.7,79.9,0.315,0.406,0.504,0.189
Luis García Jr.,671277,528,71.7,41.7,8.0,5.1,81.2,0.282,0.318,0.444,0.162
Tyler Fitzgerald,666149,341,70.5,31.9,8.2,6.5,70.2,0.28,0.334,0.497,0.217
Joc Pederson,592626,449,73.4,46.2,12.8,12.2,77.4,0.275,0.393,0.515,0.24
Jake McCarthy,664983,495,67.3,24.5,2.7,6.3,83.4,0.285,0.349,0.4,0.115
Yainer Diaz,673237,619,72.5,47.5,7.6,3.9,77.6,0.299,0.325,0.441,0.142
Carlos Santana,467793,594,71.8,39.9,7.3,10.9,78.7,0.238,0.328,0.42,0.182
Nathaniel Lowe,663993,565,73.3,40.0,5.8,12.6,81.2,0.265,0.361,0.401,0.136
Willi Castro,650489,635,70.6,36.8,7.0,8.0,73.2,0.247,0.331,0.385,0.138
Josh Smith,669701,592,70.2,37.1,3.7,7.8,80.0,0.258,0.337,0.394,0.136
Jonathan India,663697,637,71.7,36.5,7.7,12.6,82.7,0.248,0.357,0.392,0.144
Mark Vientos,668901,454,71.8,46.6,14.1,7.3,68.0,0.266,0.322,0.516,0.249
Taylor Ward,621493,663,69.8,42.4,13.0,9.5,76.4,0.246,0.323,0.426,0.179
Brandon Nimmo,607043,663,73.3,47.4,9.1,11.6,78.7,0.224,0.327,0.399,0.175
Miguel Rojas,500743,337,67.9,27.8,2.5,6.8,87.5,0.283,0.337,0.41,0.127
Andrés Giménez,665926,633,68.3,28.5,2.8,4.1,79.2,0.252,0.298,0.34,0.087
Alejandro Kirk,672386,386,70.1,40.9,6.7,9.1,86.5,0.253,0.319,0.359,0.106
Jeremy Peña,665161,650,72.6,38.8,5.4,3.8,77.1,0.266,0.308,0.394,0.128
Adley Rutschman,668939,638,69.1,36.6,6.1,9.1,84.6,0.25,0.318,0.391,0.14
Jordan Westburg,676059,447,71.0,46.1,11.8,4.9,74.0,0.264,0.312,0.481,0.216
Jacob Young,696285,521,68.2,28.9,1.6,5.8,83.2,0.256,0.316,0.331,0.075
Willson Contreras,575929,358,75.9,46.8,11.2,12.6,67.0,0.262,0.38,0.468,0.206
Ha-Seong Kim,673490,470,69.0,35.4,4.8,12.3,85.9,0.233,0.33,0.37,0.136
Pete Crow-Armstrong,691718,410,70.6,36.8,7.4,5.1,73.2,0.237,0.286,0.384,0.148
Will Smith,669257,544,67.9,42.0,10.8,9.4,81.8,0.248,0.327,0.433,0.185
Matt Olson,621566,685,73.8,47.4,12.4,10.4,76.5,0.247,0.333,0.457,0.21
Brice Turang,668930,619,66.2,29.7,2.4,8.1,88.0,0.254,0.316,0.349,0.095
Tyler O'Neill,641933,473,75.2,48.8,17.3,11.2,67.8,0.241,0.336,0.511,0.27
Jose Iglesias,578428,291,69.8,30.6,2.2,4.1,85.6,0.337,0.381,0.448,0.111
Gabriel Moreno,672515,351,70.6,41.0,6.6,11.7,83.5,0.266,0.353,0.38,0.115
Otto Lopez,672640,434,70.7,38.9,5.1,5.8,80.0,0.27,0.313,0.377,0.107
Dylan Moore,664238,441,73.0,36.3,8.8,12.0,78.0,0.201,0.32,0.367,0.166
Austin Riley,663586,469,75.2,53.4,14.9,7.9,74.3,0.256,0.322,0.461,0.205
Matt Vierling,663837,567,71.1,40.9,7.5,7.2,82.5,0.257,0.312,0.423,0.166
Heliot Ramos,671218,518,75.2,47.5,14.5,7.1,72.9,0.269,0.322,0.469,0.2
Luke Raley,670042,455,75.0,41.8,11.0,5.9,67.0,0.243,0.32,0.463,0.22
Brandon Marsh,669016,476,71.9,47.4,10.0,10.5,74.8,0.249,0.328,0.419,0.17
