player_name,player_id,pa,avg_bat_speed,hard_hit_pct,barrel_pct,bb_pct,contact_pct,avg,obp,slg,iso
Mitch Haniger,571745,423,72.9,45.9,9.0,9.5,69.8,0.208,0.286,0.334,0.126
Adam Frazier,624428,294,66.5,22.8,2.9,7.5,82.0,0.202,0.282,0.294,0.092
Javier Báez,595879,289,74.8,40.0,7.8,4.2,71.9,0.184,0.221,0.294,0.11
Gavin Sheets,657757,501,72.7,35.3,5.7,8.6,79.1,0.233,0.303,0.357,0.124
Ty France,664034,535,71.0,40.0,7.3,7.1,78.6,0.234,0.305,0.365,0.132
Eloy Jiménez,650391,349,73.9,49.0,7.8,6.3,77.0,0.238,0.289,0.336,0.099
Joey Meneses,608841,313,70.4,39.3,4.5,6.7,78.8,0.231,0.291,0.302,0.071
Christopher Morel,666624,611,76.1,40.4,10.2,10.0,68.4,0.196,0.288,0.346,0.15
Adam Duvall,594807,330,72.4,36.6,10.7,6.4,74.4,0.182,0.245,0.323,0.142
Bryan De La Cruz,650559,622,71.8,41.3,9.3,4.7,72.8,0.233,0.271,0.384,0.151
Eddie Rosario,592696,319,70.3,42.5,5.3,5.0,74.1,0.175,0.215,0.316,0.141
Brandon Drury,592273,360,72.6,35.6,3.6,7.5,77.6,0.169,0.242,0.228,0.058
