Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"William Contreras","MIL",155,679,23,99,92,9,0.114874815,0.204712812,0.18487395,0.330275229,0.280672268,0.365243004,0.465546218,0.3587271837346278,0.35763522637704004,131.57793467399807,-2.575035162270069,23.064773541523095,7.381562352180481,5.488651739986147,"William Contreras",20503,661388
"Matt Chapman","SFG",154,647,27,98,78,15,0.098918083,0.244204018,0.215652174,0.293367346,0.246956521,0.327666151,0.462608695,0.34013576694527026,0.34017686440911094,120.6726386704186,3.6806269511580467,19.674788521525187,11.447599172592163,5.447993975769762,"Matt Chapman",16505,656305
"Cal Raleigh","SEA",153,628,34,73,100,6,0.111464968,0.280254777,0.216117216,0.251461988,0.219780219,0.31210191,0.435897435,0.32256641812049425,0.34599164592320425,117.55250684811342,-2.577874943614006,10.03471865745432,21.550546884536743,5.411826653833569,"Cal Raleigh",21534,663728
"Jackson Merrill","SDP",156,593,24,77,90,16,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.3717480614071801,129.64684290775756,3.721755400300026,24.74474279421471,7.192627429962158,5.3457304461491475,"Jackson Merrill",29490,701538
"Vladimir Guerrero Jr.","TOR",159,697,30,98,103,2,0.103299856,0.137733142,0.22077922,0.342105263,0.323051948,0.395982783,0.543831168,0.39789022276871394,0.4089601578251008,164.49173188476283,-5.594869069755077,45.83819826287797,-17.428866386413574,5.320024514642186,"Vladimir Guerrero Jr.",19611,665489
"Yordan Alvarez","HOU",147,635,35,88,86,6,0.108661417,0.149606299,0.259057971,0.316901408,0.307971014,0.392125984,0.567028985,0.40158736975397163,0.4113042698493846,167.06348230854238,-2.903316155076027,45.82320807732856,-16.452189445495605,5.207106688521867,"Yordan Alvarez",19556,670541
"Brent Rooker","OAK",145,614,39,82,112,11,0.096091205,0.288273615,0.269230769,0.362275449,0.293040293,0.364820846,0.562271062,0.39218441668103954,0.379564410761783,163.63141597278016,0.7568249627947807,45.4607407277596,-16.319454431533813,5.111493169542987,"Brent Rooker",19627,667670
"Bryce Harper","PHI",145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.38021706340771305,0.35543284696691174,143.72135955460536,-0.4898614436388016,32.50028944371691,-4.232383728027344,5.0979501282669775,"Bryce Harper",11579,547180
"Willy Adames","MIL",161,688,32,93,112,21,0.107558139,0.251453488,0.211475409,0.296568627,0.250819672,0.331395348,0.462295081,0.34193181539103934,0.33924306604984034,120.27350052093948,1.2317712530493736,17.911096026327197,5.976341724395752,4.842335810348562,"Willy Adames",15986,642715
"Marcell Ozuna","ATL",162,688,39,96,104,1,0.107558139,0.247093023,0.244224422,0.359102244,0.301980198,0.378457059,0.54620462,0.39450213334856243,0.4016783864874589,154.4543814593856,-4.604921892285347,40.19554622376367,-17.5,4.719239959530004,"Marcell Ozuna",10324,542303
"Corey Seager","TEX",123,533,30,68,74,1,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.35272045,0.511578947,0.364663478286787,0.38742129986102763,141.93696475653223,-5.232432544231415,20.343401841284805,6.94588303565979,4.642943140123882,"Corey Seager",13624,608369
"Jurickson Profar","SDP",158,668,24,94,85,10,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.380090497,0.459219858,0.365296050431334,0.36404231394187453,138.92728947203236,-0.7629592474550009,30.332137434188127,-10.619479179382324,4.342124775454071,"Jurickson Profar",10815,595777
"Corbin Carroll","ARI",158,684,22,121,74,35,0.106725146,0.190058479,0.196943973,0.255605381,0.23089983,0.321585903,0.427843803,0.3248603077011837,0.3259829372829861,107.07697861964971,11.086577944457531,16.8750677085523,2.2997801303863525,4.3418203663781965,"Corbin Carroll",25878,682998
"Patrick Bailey","SFG",121,448,8,46,46,4,0.087053571,0.223214285,0.104738154,0.286666666,0.234413965,0.297539149,0.339152119,0.2813692890290979,0.31868337566932936,81.11877081707404,0.47803995013237,-9.63704564495716,36.545279026031494,4.325725280249776,"Patrick Bailey",27478,672275
"Mookie Betts","LAD",116,516,19,75,75,16,0.118217054,0.110465116,0.202222223,0.293650793,0.288888888,0.372093023,0.491111111,0.3709689515573969,0.35564287271183603,139.57664027743849,0.6120042651891708,25.032243234556706,-0.6782671213150024,4.296694964745157,"Mookie Betts",13611,605141
"Marcus Semien","TEX",159,718,23,101,74,8,0.08913649,0.146239554,0.153846154,0.250478011,0.236923076,0.307799442,0.39076923,0.30588280763373027,0.313100549984112,100.58944061998207,1.4903829023241997,1.9746334411112954,15.71020221710205,4.284310179199466,"Marcus Semien",12533,543760
"Rafael Devers","BOS",138,601,28,87,83,3,0.111480865,0.244592346,0.243809524,0.323033707,0.272380952,0.354409317,0.516190476,0.36402783280133794,0.36336156078892895,135.77750816682595,-0.8942356556653976,23.708883440391812,-2.5807816982269287,4.2394080094517115,"Rafael Devers",17350,646240
"Carlos Correa","MIN",86,367,14,55,54,0,0.108991825,0.166212534,0.206896552,0.342741935,0.310344827,0.387978142,0.517241379,0.3853048369370771,0.35477704633006735,154.25036509244535,-0.5717945396900177,22.209286913320657,6.453847885131836,4.2165793693438305,"Carlos Correa",14162,621043
"Dansby Swanson","CHC",149,593,16,82,66,19,0.091062394,0.242833052,0.147940075,0.299734748,0.241573033,0.311973018,0.389513108,0.30656940884598216,0.3204153804455773,97.49036048581739,4.4247100949287415,2.6450899163455643,18.356961727142334,4.216355570823021,"Dansby Swanson",18314,621020
"Kyle Tucker","HOU",78,339,23,56,49,11,0.16519174,0.159292035,0.296028881,0.282178217,0.288808664,0.407738095,0.584837545,0.4188836233035938,0.4002796894795186,179.23002027364984,-0.3250654935836792,30.40723511767689,-0.8917388916015625,4.208759609116928,"Kyle Tucker",18345,663656
"Steven Kwan","CLE",122,540,14,83,44,12,0.098148148,0.094444444,0.133333334,0.303614457,0.291666666,0.368029739,0.425,0.3494486094185854,0.33343105954308494,131.00928721131478,0.1757170334458351,19.33552494608666,3.291461944580078,4.185394017757066,"Steven Kwan",24610,680757
